taxid	kingdom	phylum	class	order	family	genus	species
856822		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Fonsecaea	Fonsecaea nubica
858422		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium sp. CCBAU 051011
859058		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Novispirillaceae	Caenispirillum	Caenispirillum salinarum
860235		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Kibdelosporangium	Kibdelosporangium phytohabitans
860376		Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis	Caenorhabditis angaria
86049		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora carrionii
86085		Basidiomycota	Agaricomycetes	Agaricales	Galerinaceae	Gymnopilus	
861768		Chordata	Actinopteri	Salmoniformes	Salmonidae	Coregonus	Coregonus sp. 'balchen'
862241		Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae		
862261		Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobius	
862720		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Paracidovorax	Paracidovorax oryzae
86304		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus degradans
863449		Bacillota	Bacilli	Caryophanales	Bacillaceae	Cytobacillus	Cytobacillus purgationiresistens
864058		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces kebangsaanensis
864069		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	Microvirga lotononidis
865		Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Pectinatus	Pectinatus frisingensis
866807		Bacteroidota	Cytophagia	Cytophagales	Persicobacteraceae	Aureibacter	Aureibacter tunicatorum
86838		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula paludigena
869212		Spirochaetota	Leptospiria	Leptospirales	Leptospiraceae	Turneriella	Turneriella parva
869889		Methanobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halosimplex	Halosimplex rubrum
87		Pseudomonadota	Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	Hyphomonas	Hyphomonas sp.
870487		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavivirga	Flavivirga jejuensis
871652		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Poseidonocella	Poseidonocella sedimentorum
872		Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	
872965		Chloroflexota	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Ardenticatena	Ardenticatena maritima
873		Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfocurvibacter	Desulfocurvibacter africanus
87461		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Rhodopseudomonas	Rhodopseudomonas rhenobacensis
875328		Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacter	Mycolicibacter sinensis
876091		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Oscillibacter	uncultured Oscillibacter sp.
