taxid	kingdom	phylum	class	order	family	genus	species
1899355		Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae		Oceanospirillaceae bacterium
1903414		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae		
1904441		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae		Paracoccaceae bacterium
1905359		Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae		marine bacterium AO1-C
1906242		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum sp.
1913988		Pseudomonadota	Alphaproteobacteria				Alphaproteobacteria bacterium
1913989		Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium
1917219		Bacteroidota	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Fluviicola sp.
1917967		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter sp.
1919254		Chloroflexota	Caldilineae	Caldilineales	Caldilineaceae		
1925666		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutibacter	Lutibacter sp.
1936156		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium sp.
1936990		Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira sp. KM1
1938954		Mucoromycota	Endogonomycetes	Endogonales		Bifiguratus	Bifiguratus adelaidae
1940289		Bacteroidota	Saprospiria	Saprospirales	Haliscomenobacteraceae	Phaeodactylibacter	Phaeodactylibacter sp.
1948890		Pseudomonadota	Alphaproteobacteria	Rhodobacterales			Rhodobacterales bacterium
195250		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. PCC 7336
196159		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
1962156		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL B-24572
1977087		Pseudomonadota					Pseudomonadota bacterium
1978231		Acidobacteriota					Acidobacteriota bacterium
198251		Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	Candidatus Pelagibacter	
1983103		Cyanobacteriota	Cyanophyceae	Synechococcales			
1986644		Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae		Pelagibacteraceae bacterium TMED65
1986761		Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium TMED34
1986868		Pseudomonadota	Alphaproteobacteria	Rickettsiales			Rickettsiales bacterium TMED174
2							
200644		Bacteroidota	Flavobacteriia	Flavobacteriales			
2006849		Pseudomonadota	Gammaproteobacteria	Lysobacterales			Lysobacterales bacterium
200795		Chloroflexota					
201174		Actinomycetota					
2013080		Pseudomonadota	Alphaproteobacteria				Alphaproteobacteria bacterium MarineAlpha5_Bin5
2016057		Cyanobacteriota	Cyanophyceae	Oculatellales	Oculatellaceae	Thermocoleostomius	Thermocoleostomius sinensis
202097		Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Scapholeberis	Scapholeberis mucronata
2021391		Bacteroidota	Flavobacteriia	Flavobacteriales			Flavobacteriales bacterium
2022740		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Thalassobaculaceae	Thalassobaculum	Thalassobaculum sp.
2024834		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	Halioglobus sp.
