taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
6265		Nematoda	Chromadorea	Rhabditida	Toxocaridae	Toxocara	Toxocara canis	1
6274		Nematoda	Chromadorea	Rhabditida				1
6296		Nematoda	Chromadorea	Rhabditida	Onchocercidae			1
6447		Mollusca						1
6454		Mollusca	Gastropoda	Lepetellida	Haliotidae	Haliotis	Haliotis rufescens	1
651137		Nitrososphaerota						1
652676							hydrothermal vent metagenome	1
665099		Bacillota	Bacilli	Caryophanales	Bacillaceae	Cytobacillus	Cytobacillus oceanisediminis	1
66852		Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter sp.	1
6854		Arthropoda	Arachnida					1
6875		Arthropoda	Arachnida	Scorpiones	Buthidae	Centruroides		1
68877		Arthropoda	Insecta	Diptera	Culicidae	Anopheles		1
6913		Arthropoda	Arachnida	Araneae	Araneidae			1
7157		Arthropoda	Insecta	Diptera	Culicidae			1
716546		Ascomycota						1
7260		Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila willistoni	1
74971		Arthropoda	Arachnida	Araneae				1
768507		Bacteroidota	Cytophagia	Cytophagales				1
84566		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae			1
870187		Pseudomonadota	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	Thiothrix nivea	1
874455		Arthropoda	Insecta	Lepidoptera	Erebidae	Arctia	Arctia plantaginis	1
89954			Dinophyceae	Suessiales				1
89957			Dinophyceae	Suessiales	Suessiaceae	Polarella	Polarella glacialis	1
9263		Chordata	Mammalia					2
9277		Chordata	Mammalia	Dasyuromorphia	Dasyuridae			1
976		Bacteroidota						3
