taxid	kingdom	phylum	class	order	family	genus	species
1821260		Bacillota	Bacilli	Caryophanales	Bacillaceae	Bacillus	Bacillus marinisedimentorum
1822464		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	
1823		Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia otitidiscaviarum
1826872		Nitrososphaerota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrosocosmicus	Candidatus Nitrosocosmicus hydrocola
1831		Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. (in: high G+C Gram-positive bacteria)
183589		Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia multistriata
1839		Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	
183963		Methanobacteriota	Halobacteria				
1842727		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax koreensis
1850093		Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter nivis
1852379		Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera coli
1852809		Bacteroidota					Bacteroidetes bacterium ADurb.Bin217
1852824		Candidatus Sumerlaeota					candidate division BRC1 bacterium ADurb.BinA292
1853229		Bacteroidota	Chitinophagia	Chitinophagales			
1853232		Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae		
1854500		Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	Muricoccus	Muricoccus nepalensis
1855315		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus sp. YR651
1855912		Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea	Luteitalea pratensis
1860092		Pseudomonadota	Alphaproteobacteria				Alphaproteobacteria bacterium MedPE-SWcel
1862145		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Thalassobaculaceae	Nisaea	Nisaea acidiphila
186479		Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	Kouleothrix	Kouleothrix aurantiaca
1868		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes digitatis
186802		Bacillota	Clostridia	Eubacteriales			
186803		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae		
186807		Bacillota	Clostridia	Eubacteriales	Peptococcaceae		
186817		Bacillota	Bacilli	Caryophanales	Bacillaceae		
186822		Bacillota	Bacilli	Caryophanales	Paenibacillaceae		
1868660							uncultured Mediterranean phage
1869		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes utahensis
1869212		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae		Chitinophagaceae bacterium
1869227							bacterium
1869338		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Dyella	Dyella sp.
1869339		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Polaromonas sp.
1871037		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		Flavobacteriaceae bacterium
1871053		Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium sp.
1871066		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp.
1871071		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae		Comamonadaceae bacterium
1871072		Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae		Nocardioidaceae bacterium
1872138		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	Actinophytocola sp.
1872407		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Aestuariivita	Aestuariivita sp.
1872442		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Aliiroseovarius	Aliiroseovarius sp.
1872532		Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Anaerovibrio	Anaerovibrio sp.
1872578		Pseudomonadota	Betaproteobacteria	Burkholderiales		Aquabacterium	Aquabacterium sp.
1872627		Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Archangium	Archangium sp.
1872638		Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadaceae	Armatimonas	Armatimonas sp.
1873		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	
1873460		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix sp.
1874826		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp.
1879010		Bacillota					Bacillota bacterium
1881019		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. TLI_105
1882271		Actinomycetota	Actinomycetes	Geodermatophilales	Geodermatophilaceae		Geodermatophilaceae bacterium
1882438		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter sp.
1882752		Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Singulisphaera	Singulisphaera sp. GP187
1882774		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax sp. CF079
1883		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	
1883427		Actinomycetota	Actinomycetes				Actinomycetes bacterium
1885344		Rhodothermota	Rhodothermia	Rhodothermales	Rubricoccaceae	Rubrivirga	Rubrivirga sp.
188786		Deinococcota	Deinococci	Thermales	Thermaceae		
188905		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Jannaschia	
1889770		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Thioclava	Thioclava sp. SK-1
1890424		Cyanobacteriota	Cyanophyceae	Synechococcales			
1890438		Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae		
1891238		Pseudomonadota	Betaproteobacteria	Burkholderiales			Burkholderiales bacterium
1891241		Pseudomonadota	Betaproteobacteria				Betaproteobacteria bacterium
1891926		Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Fuerstiella	Fuerstiella marisgermanici
1892		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces anulatus
1892252		Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae		
1892254		Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae		
1892855		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingosinicellaceae	Sphingosinicella	Sphingosinicella sp. BN140058
1892865		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Allostreptomyces	Allostreptomyces psammosilenae
1893		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces atratus
1894989		Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermodesulfitimonas	Thermodesulfitimonas autotrophica
1897614		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	Maribacter sp.
1897631		Bacteroidota	Cytophagia	Cytophagales	Reichenbachiellaceae	Reichenbachiella	Reichenbachiella sp. MSK19-1
189779		Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae		
1898103		Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae		Rhodocyclaceae bacterium
1898104		Bacteroidota					Bacteroidota bacterium
1898111		Bacteroidota	Flavobacteriia	Flavobacteriales	Cryomorphaceae		Cryomorphaceae bacterium
1898207		Bacillota	Clostridia	Eubacteriales			Clostridiales bacterium
1898956		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia sp.
1898978		Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter sp.
1903157		Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Piscinibacter	Piscinibacter sp.
1904254		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga sp.
1904378		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Amorphaceae	Acuticoccus	Acuticoccus sp.
1904441		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae		Paracoccaceae bacterium
1904827		Chloroflexota	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	Chloroflexus sp.
1906665							archaeon
1907202		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseobacter	Roseobacter sp.
1907725		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	Limnohabitans sp.
1909293		Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae		Acetobacteraceae bacterium
1909294		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales			Hyphomicrobiales bacterium
1909295		Actinomycetota	Thermoleophilia	Solirubrobacterales			Solirubrobacterales bacterium
1911079		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis sp.
1912772		Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	Halodesulfovibrio sp.
1913961		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae		Rhizobiaceae bacterium
1913988		Pseudomonadota	Alphaproteobacteria				Alphaproteobacteria bacterium
1913989		Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium
1914240		Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	Zavarzinella	Zavarzinella sp.
1914328		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Pseudooceanicola	Pseudooceanicola sp.
191468		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Sulfitobacter	uncultured Sulfitobacter sp.
1916663		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingosinicellaceae	Sandarakinorhabdus	Sandarakinorhabdus sp.
1917219		Bacteroidota	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Fluviicola sp.
1917967		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter sp.
1919094		Bacteroidota					Bacteroidetes bacterium QH_2_64_74
1919113		Bacteroidota					Bacteroidetes bacterium SW_11_45_7
1919126		Cyanobacteriota					Cyanobacteria bacterium QH_9_48_43
1919147		Methanobacteriota	Halobacteria	Halobacteriales			Halobacteriales archaeon QH_10_65_19
1919154		Methanobacteriota	Halobacteria	Halobacteriales			Halobacteriales archaeon QH_6_64_20
1919162		Methanobacteriota	Halobacteria	Halobacteriales			Halobacteriales archaeon QH_8_64_26
1920174		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Octadecabacter	Octadecabacter sp.
192149		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Allomuricauda	Allomuricauda sp.
1921806		Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Inhella	Inhella sp.
1925666		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutibacter	Lutibacter sp.
1926289		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herminiimonas	Herminiimonas sp.
1926625		Bacteroidota	Flavobacteriia	Flavobacteriales	Vicingaceae	Vicingus	Vicingus serpentipes
1926873		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae		Lysobacteraceae bacterium
1929288		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Tateyamaria	Tateyamaria sp.
1929291		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Reyranellaceae	Reyranella	Reyranella sp.
1932692		Lentisphaerota					Lentisphaerota bacterium
1933779		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinosynnema	Actinosynnema sp. ALI-1.44
1934309		Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae	Alkalinema	Alkalinema sp. CACIAM 70d
1934400		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Pseudorhodobacter	Pseudorhodobacter sp.
1936156		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium sp.
1936171		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	uncultured Roseibium sp.
1936988		Bacteroidota	Saprospiria	Saprospirales			
1937960		Bacteroidota	Saprospiria	Saprospirales	Lewinellaceae		
1937961		Bacteroidota	Saprospiria	Saprospirales	Haliscomenobacteraceae		
1940281		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Hoeflea	Hoeflea sp.
1940288		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp.
1940289		Bacteroidota	Saprospiria	Saprospirales	Haliscomenobacteraceae	Phaeodactylibacter	Phaeodactylibacter sp.
1942		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces goshikiensis
1945892		Bacteroidota	Cytophagia	Cytophagales	Spirosomataceae		Spirosomataceae bacterium TFI 002
1948890		Pseudomonadota	Alphaproteobacteria	Rhodobacterales			Rhodobacterales bacterium
195253		Cyanobacteriota	Cyanophyceae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. PCC 6312
1954475		Bacteroidota	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Mariniphaga	Mariniphaga sp.
1960881		Bacteroidota	Cytophagia	Cytophagales	Spirosomataceae	Runella	Runella sp.
1962181		Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Ideonella	Ideonella sp. A 288
1962908		Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas sp.
1965333		Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	Prosthecobacter sp.
1966338		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Pseudooctadecabacter	Pseudooctadecabacter sp.
1967498		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter	Ilumatobacter sp.
196858		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	
1970541		Planctomycetota	Planctomycetia	Planctomycetales			Planctomycetales bacterium 12-60-4
1970558		Pseudomonadota	Alphaproteobacteria	Rhodobacterales			Rhodobacterales bacterium 32-66-7
