taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
1260050		Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	Sporothrix curviconia	1
1263415		Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Endocarpon	Endocarpon pusillum	1
1263869		Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Aporhodopirellula	Aporhodopirellula sallentina	1
127596		Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe australafricana	4
1276136		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium guizhouense	2
1276532		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria tritici	3
1279043		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora carrionii	3
1280523		Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	Stachybotrys chartarum	1
128442		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces pinophilus	2
1286976		Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	Phaeoacremonium minimum	1
1287680		Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	Neofusicoccum parvum	2
1287681		Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	Eutypa lata	1
1290391		Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis cinerea	1
1291518		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium anisopliae	2
129788		Mollusca	Bivalvia	Venerida	Veneridae	Ruditapes	Ruditapes philippinarum	1
1303443		Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia digitata	13
1303715		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium desertorum	1
1306861		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum tanaceti	3
131324		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora		20
1314669		Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Polychaeton	Polychaeton citri	9
1314670		Ascomycota	Dothideomycetes	Mytilinidiales	Argynnaceae	Lepidopterella	Lepidopterella palustris	2
1314674		Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Cylindrobasidium	Cylindrobasidium torrendii	1
1314773		Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Sodiomyces	Sodiomyces alkalinus	1
1314776		Basidiomycota	Agaricomycetes	Sistotremastrales	Sistotremastraceae	Sistotremastrum	Sistotremastrum suecicum	3
1314777		Basidiomycota	Agaricomycetes	Sistotremastrales	Sistotremastraceae	Sertulicium	Sertulicium niveocremeum	4
1314778		Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus arcularius	1
1314779		Ascomycota	Dothideomycetes		Zopfiaceae	Zopfia	Zopfia rhizophila	16
1314781		Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Exidia	Exidia glandulosa	21
1314782		Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Neolentinus	Neolentinus lepideus	4
1314783		Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis	Fomitopsis quercina	1
1314785		Basidiomycota	Agaricomycetes	Polyporales	Laetiporaceae	Laetiporus	Laetiporus sulphureus	7
1314786		Ascomycota	Dothideomycetes	Mycosphaerellales	Dissoconiaceae	Dissoconium	Dissoconium aciculare	3
1314787		Ascomycota	Dothideomycetes	Botryosphaeriales	Saccharataceae	Saccharata	Saccharata proteae	2
1314788		Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma macrostomum	12
1314801		Ascomycota	Dothideomycetes	Pleosporales	Pleomassariaceae	Pleomassaria	Pleomassaria siparia	2
1314802		Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Melanomma	Melanomma pulvis-pyrius	9
1314807		Basidiomycota	Agaricomycetes	Agaricales		Dendrothele	Dendrothele bispora	13
1316785		Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	Lachnellula arida	4
1316786		Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	Lachnellula cervina	3
1316788		Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnellula	Lachnellula hyalina	3
132259		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus pseudotamarii	1
1324776		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium malachiteum	10
1328758		Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	Lentinus tigrinus	1
1328759		Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Lentinus	Lentinus tigrinus	2
1328760		Ascomycota	Xylonomycetes	Xylonales	Xylonaceae	Xylona	Xylona heveae	1
1330021		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps polyrhachis-furcata	1
1336337		Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Choiromyces	Choiromyces venosus	1
1337664		Ascomycota	Sordariomycetes	Amphisphaeriales	Apiosporaceae	Apiospora	Apiospora hydei	7
1337665		Ascomycota	Sordariomycetes	Amphisphaeriales	Apiosporaceae	Apiospora	Apiospora kogelbergensis	7
1340010		Ascomycota	Lecanoromycetes	Lecanorales	Stereocaulaceae	Lepraria	Lepraria finkii	5
1340428		Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormia	Sporormia fimetaria	3
1341132		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus welwitschiae	1
1343394		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium maclennaniae	1
1346257		Ascomycota	Dothideomycetes	Patellariales	Patellariaceae	Patellaria	Patellaria atrata	3
1347390		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum spinosum	2
135208		Basidiomycota	Agaricomycetes	Russulales	Hericiaceae	Hericium	Hericium alpestre	1
1353008		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus niger	1
1353009		Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes coccinea	1
1356009		Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Paecilomyces	Paecilomyces variotii	1
136370		Ascomycota	Lecanoromycetes	Umbilicariales	Umbilicariaceae	Lasallia	Lasallia pustulata	2
1380566		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Pochonia	Pochonia chlamydosporia	8
138063		Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Seiridium		4
138064		Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Seiridium	Seiridium cardinale	3
138068		Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Seiridium	Seiridium unicorne	3
1381753		Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri	1
138277		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus melleus	1
138285		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus coremiiformis	2
1387563		Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Ophidiomyces	Ophidiomyces ophidiicola	1
1392243		Ascomycota	Dothideomycetes	Eremomycetales	Eremomycetaceae	Eremomyces	Eremomyces bilateralis	4
1392245		Ascomycota	Dothideomycetes	Pleosporales	Dothidotthiaceae	Dothidotthia	Dothidotthia symphoricarpi	3
1392246		Ascomycota	Dothideomycetes	Pleosporales	Amniculicolaceae	Amniculicola	Amniculicola lignicola	3
1392250		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus steynii	6
1392251		Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Karstenula	Karstenula rhodostoma	6
1392255		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus novofumigatus	1
139380		Basidiomycota	Agaricomycetes	Hymenochaetales				2
139415		Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis	Fomitopsis serialis	1
1395130		Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Massarina	Massarina eburnea	8
139641		Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis byssoidea	1
1398154		Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	Sporothrix brasiliensis	2
139825		Basidiomycota	Agaricomycetes	Polyporales	Sparassidaceae	Sparassis	Sparassis crispa	1
1399860		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps australis	3
1400762		Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Macrolepiota	Macrolepiota fuliginosa	5
1403190		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus parasiticus	1
1408157		Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta ligniaria	4
1408161		Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus tracheiphilus	1
1408163		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia	Rasamsonia emersonii	7
1419009		Basidiomycota	Agaricomycetes	Phallales	Clathraceae	Clathrus	Clathrus columnatus	7
1429867		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium camemberti	1
