taxid	kingdom	phylum	class	order	family	genus	species
1159556		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Ustilaginoidea	Ustilaginoidea virens
1160506		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus oryzae
1160509		Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	Ascobolus immersus
1163406		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Tolypocladium	Tolypocladium ophioglossoides
1167516		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium odoratum
116794		Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Heterodermia	Heterodermia speciosa
1168545		Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Lentithecium	Lentithecium fluviatile
1168546		Ascomycota	Dothideomycetes	Myriangiales	Myriangiaceae	Myriangium	Myriangium duriaei
116970		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium angulare
117069		Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Sphagnurus	Sphagnurus paluster
1170767		Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium strumarium
1173701		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum sublineola
117544		Ascomycota	Sordariomycetes	Diaporthales	Cytosporaceae	Cytospora	
1176127		Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella	Aplosporella prunicola
1176131		Ascomycota	Dothideomycetes	Aulographales	Aulographaceae	Aulographum	Aulographum hederae
1182543		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora psammophila
1182544		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora yegresii
1182545		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala aquamarina
