taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
1914338		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Terrimonas	Terrimonas sp.	1
1915410		Thermoproteota						2
1919085		Actinomycetota					Actinobacteria bacterium QS_5_72_10	1
1919086		Actinomycetota					Actinobacteria bacterium QS_8_72_14	1
1919098		Bacteroidota					Bacteroidetes bacterium QH_7_62_13	1
1919103		Bacteroidota					Bacteroidetes bacterium QS_1_63_11	1
1919112		Bacteroidota					Bacteroidetes bacterium SW_10_40_5	1
1919113		Bacteroidota					Bacteroidetes bacterium SW_11_45_7	1
1919189		Methanobacteriota	Halobacteria	Halobacteriales			Halobacteriales archaeon QS_9_67_15	1
1919232		Thermoplasmatota	Thermoplasmata	Thermoplasmatales			Thermoplasmatales archaeon SW_10_69_26	1
1920175		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter sp.	1
1920419		Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae		Desulfobulbaceae bacterium DB1	1
1920505		Spirochaetota	Spirochaetia	Spirochaetales	Sphaerochaetaceae	Pleomorphochaeta	Pleomorphochaeta sp.	1
1923		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces phaeochromogenes	1
1930		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces scabiei	1
1930617		Calditrichota						3
1932692		Lentisphaerota					Lentisphaerota bacterium	1
1932697							bacterium M21	1
1934250		Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae		Desulfobulbaceae bacterium A2	1
1934251		Verrucomicrobiota					Verrucomicrobia bacterium A1	1
1935183								1
1936988		Bacteroidota	Saprospiria	Saprospirales				4
1937972		Bacteroidota	Cytophagia	Cytophagales	Bernardetiaceae	Bernardetia		1
1940283		Methanobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halolamina	Halolamina sp.	2
1940285		Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Sedimenticola	Sedimenticola sp.	1
1940288		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp.	2
1940289		Bacteroidota	Saprospiria	Saprospirales	Haliscomenobacteraceae	Phaeodactylibacter	Phaeodactylibacter sp.	2
1945595		Methanobacteriota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae		Methanosarcinaceae archaeon	1
1946651		Bacillota	Clostridia	Eubacteriales		Intestinimonas	Intestinimonas sp. UBA1698	1
194924		Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae			7
1954253		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Filimonas	Filimonas sp.	1
1956173		Candidatus Omnitrophota					Candidatus Omnitrophica bacterium 4484_171	1
1956174		Candidatus Latescibacterota					Candidatus Latescibacteria bacterium 4484_181	1
1961369		Thermoproteota	Thermoprotei	Thermofilales	Thermofilaceae	Thermofilum	Thermofilum sp.	3
1962856		Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Caldithrix	Caldithrix sp.	1
1963255		Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum	Desulfonatronum sp.	1
1963835		Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae	Arboricoccus	Arboricoccus pini	1
1964215		Bacteroidota	Cytophagia	Cytophagales	Roseivirgaceae	Roseivirga	Roseivirga sp.	1
1970082		Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium	Pyrodictium sp.	3
1970190		Bacteroidota	Bacteroidia	Bacteroidales	Salinivirgaceae			1
1970514		Gemmatimonadota					Gemmatimonadetes bacterium 21-71-4	1
1970529		Pseudomonadota	Hydrogenophilia	Hydrogenophilales			Hydrogenophilales bacterium 28-61-11	1
1970579		Bacteroidota	Sphingobacteriia				Sphingobacteriia bacterium 35-40-5	1
1970784		Candidatus Omnitrophota					Candidatus Omnitrophica bacterium 4484_49	1
1971724		Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae		Anaerolineaceae bacterium 4572_5.1	1
1971726		Candidatus Cloacimonadota					Candidatus Cloacimonetes bacterium 4572_55	1
1972642		Spirochaetota	Spirochaetia	Spirochaetales	Sphaerochaetaceae	Sphaerochaeta	Sphaerochaeta sp.	1
1973888		Acidobacteriota					Acidobacteria bacterium CG_4_9_14_3_um_filter_49_7	1
1974748		Candidatus Omnitrophota				Candidatus Abzuiibacterium	Candidatus Abzuiibacterium crystallinum	1
1974749		Candidatus Omnitrophota					Candidatus Omnitrophica bacterium CG11_big_fil_rev_8_21_14_0_20_63_9	1
1975520		Candidatus Zixiibacteriota					candidate division Zixibacteria bacterium CG_4_9_14_3_um_filter_46_8	1
1977087		Pseudomonadota					Pseudomonadota bacterium	14
1978152		Thermoproteota						1
1978231		Acidobacteriota					Acidobacteriota bacterium	54
1978525		Pseudomonadota	Alphaproteobacteria	Sphingomonadales			Sphingomonadales bacterium	2
1980646		Methanobacteriota	Theionarchaea					1
1982333		Verrucomicrobiota					Verrucomicrobia bacterium Tous-C9LFEB	1
1983103		Cyanobacteriota	Cyanophyceae	Synechococcales				1
1983111		Cyanobacteriota						1
1986146		Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	Desulfobulbus oralis	1
1986672		Bacteroidota	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			1
1986761		Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium TMED34	1
2								245
2004		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae			1
200414		Thermoproteota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera		1
2005730							bacterium BMS3Bbin07	1
200643		Bacteroidota	Bacteroidia					1
200644		Bacteroidota	Flavobacteriia	Flavobacteriales				14
200667		Bacteroidota	Cytophagia	Cytophagales	Flammeovirgaceae			1
2006848		Verrucomicrobiota	Opitutia	Opitutales	Opitutaceae		Opitutaceae bacterium	2
2006849		Pseudomonadota	Gammaproteobacteria	Lysobacterales			Lysobacterales bacterium	2
200783		Aquificota						1
200795		Chloroflexota						36
2008672		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Avrilella	Avrilella dinanensis	1
200918		Thermotogota						2
200940		Thermodesulfobacteriota						2
201174		Actinomycetota						37
2012485		Candidatus Aerophobota					Candidatus Aerophobetes bacterium Ae_b3a	1
2012522		Thermoplasmatota	Thermoplasmata	Thermoplasmatales			Thermoplasmatales archaeon ex4484_30	1
2012528		Thermoproteota	Thermoprotei	Thermofilales	Thermofilaceae	Thermofilum	Thermofilum sp. ex4484_82	1
2012533		Thermoproteota	Thermoprotei				Thermoprotei archaeon ex4572_64	1
2013075		Pseudomonadota	Alphaproteobacteria				Alphaproteobacteria bacterium MarineAlpha4_Bin2	2
2013104		Pseudomonadota	Alphaproteobacteria				Alphaproteobacteria bacterium MarineAlpha10_Bin2	1
2013673		Candidatus Altarchaeota	Candidatus Altarchaeia	Candidatus Altarchaeales			Candidatus Altarchaeales archaeon HGW-Altarchaeales s-1	1
2013674		Candidatus Altarchaeota	Candidatus Altarchaeia	Candidatus Altarchaeales			Candidatus Altarchaeales archaeon HGW-Altarchaeales-2	1
2013685		Bacteroidota					Bacteroidetes bacterium HGW-Bacteroidetes-17	1
2013690		Bacteroidota					Bacteroidetes bacterium HGW-Bacteroidetes-21	1
2013722		Candidatus Sumerlaeota					candidate division BRC1 bacterium HGW-BRC1-1	1
2013854		Candidatus Walliibacteriota					Candidatus Wallbacteria bacterium HGW-Wallbacteria-1	1
2014308		Elusimicrobiota					Elusimicrobia bacterium CG08_land_8_20_14_0_20_44_26	1
2015558		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. BFFFF2	1
2017437		Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Thiolapillus	Thiolapillus sp.	2
2021391		Bacteroidota	Flavobacteriia	Flavobacteriales			Flavobacteriales bacterium	23
