taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
1872138		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	Actinophytocola sp.	3
1872145		Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Actinotalea	Actinotalea sp.	1
1872399		Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum sp.	2
1872435		Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus	Algoriphagus sp.	1
1872440		Balneolota	Balneolia	Balneolales	Balneolaceae	Fodinibius	Fodinibius sp.	1
1872442		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Aliiroseovarius	Aliiroseovarius sp.	1
1872480		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Altererythrobacter sp.	1
1872485		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Amaricoccus	Amaricoccus sp.	1
1872493		Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Ammonifex	Ammonifex sp.	1
1872496		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Amnibacterium	Amnibacterium sp.	1
1872578		Pseudomonadota	Betaproteobacteria	Burkholderiales		Aquabacterium	Aquabacterium sp.	4
1872588		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Aquimonas	Aquimonas sp.	1
1872621		Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Aquisalimonas	Aquisalimonas sp.	1
1872626		Methanobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus sp.	2
1872627		Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Archangium	Archangium sp.	2
1872648		Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis sp.	6
1872711		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Herbihabitans	Herbihabitans rhizosphaerae	1
1873		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora		6
1873460		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix sp.	1
1873462		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae		Microbacteriaceae bacterium	1
1873463		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae		Pseudonocardiaceae bacterium	1
1873464		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae		Micromonosporaceae bacterium	1
1874826		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp.	2
187492		Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Thalassolituus		1
1879010		Bacillota					Bacillota bacterium	33
1881024		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. 2112.2	1
1882269		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium fimorum	1
1882437		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp.	3
1882438		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter sp.	1
1882741		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter sp. WS9	1
